id,title,directors,genres_list,prod_companies,vote_average
11517,Money Train,Joseph Ruben,"Action,Comedy,Crime",Columbia Pictures,5.4
8012,Get Shorty,Barry Sonnenfeld,"Comedy,Thriller,Crime","Jersey Films,Metro-Goldwyn-Mayer (MGM)",6.4
1710,Copycat,Jon Amiel,"Drama,Thriller","Regency Enterprises,New Regency Pictures",6.5
9691,Assassins,Richard Donner,"Action,Adventure,Crime,Thriller","Silver Pictures,Canal+,Warner Bros.,Dino De Laurentiis Company,Donner/Shuler-Donner Productions,Evansgideon/Lazar",6.0
12665,Powder,Victor Salva,"Drama,Fantasy,Science Fiction,Thriller","Caravan Pictures,Hollywood Pictures",6.3
451,Leaving Las Vegas,Mike Figgis,"Drama,Romance","United Artists,Intial Productions",7.1
16420,Othello,Oliver Parker,Drama,"Columbia Pictures,Castle Rock Entertainment",7.0
9263,Now and Then,Lesli Linka Glatter,"Comedy,Drama,Family",New Line Cinema,6.6
17015,Persuasion,Roger Michell,"Drama,Romance",BBC Films,7.4
902,The City of Lost Children,"Jean-Pierre Jeunet,Marc Caro","Fantasy,Science Fiction,Adventure","Procirep,Constellation Productions,France 3 Cinéma,Claudie Ossard Productions,Eurimages,MEDIA Programme of the European Union,Cofimage 5,Televisión Española (TVE),Tele München Fernseh Produktionsgesellschaft (TMG),Club d'Investissement Média,Canal+ España,Elías Querejeta Producciones Cinematográficas S.L.,Centre National de la Cinématographie (CNC),Victoires Productions,Constellation,Lumière Pictures,Canal+,Studio Image,Cofimage 4,Ossane,Phoenix Images",7.6
37557,Shanghai Triad,Zhang Yimou,"Drama,Crime","Ministère des Affaires Étrangères,Alpha Films,La Sept Cinéma",6.5
9909,Dangerous Minds,John N. Smith,"Drama,Crime","Hollywood Pictures,Via Rosa Productions,Don Simpson/Jerry Bruckheimer Films",6.4
63,Twelve Monkeys,Terry Gilliam,"Science Fiction,Thriller,Mystery","Universal Pictures,Atlas Entertainment,Classico",7.4
9598,Babe,Chris Noonan,"Fantasy,Drama,Comedy,Family","Universal Pictures,Kennedy Miller Productions",6.0
47018,Carrington,Christopher Hampton,"History,Drama,Romance","StudioCanal,Cinéa,Euston Films,Freeway Films,European Co-production Fund,Polygram Filmed Entertainment,Orsans Productions",6.4
687,Dead Man Walking,Tim Robbins,Drama,"Havoc,PolyGram Filmed Entertainment,Working Title Films",7.3
33689,It Takes Two,Andy Tennant,"Comedy,Family,Romance","Dualstar Productions,Warner Bros.,Rysher Entertainment,Orr & Cruickshank",6.1
9603,Clueless,Amy Heckerling,"Comedy,Drama,Romance",Paramount Pictures,6.9
34615,"Cry, the Beloved Country",Darrell James Roodt,Drama,"Miramax,Distant Horizon,Alpine Pty Limited",6.7
31174,Richard III,Richard Loncraine,"Drama,War","British Screen,Mayfair Entertainment International",6.9
11443,Dead Presidents,"Albert Hughes,Allen Hughes","Action,Crime,Drama,History","Caravan Pictures,Underworld Entertainment,Hollywood Pictures",6.6
35196,Restoration,Michael Hoffman,"Drama,Romance",Miramax Films,6.3
9312,Mortal Kombat,Paul W.S. Anderson,"Action,Fantasy","New Line Cinema,Threshold Entertainment",5.4
577,To Die For,Gus Van Sant,"Fantasy,Drama,Comedy,Thriller","The Rank Organisation,Columbia Pictures Corporation",6.7
11861,How To Make An American Quilt,Jocelyn Moorhouse,"Drama,Romance","Universal Pictures,Amblin Entertainment",6.5
807,Se7en,David Fincher,"Crime,Mystery,Thriller","New Line Cinema,Juno Pix,Cecchi Gori Pictures",8.1
10530,Pocahontas,"Mike Gabriel,Eric Goldberg","Adventure,Animation,Drama,Family","Walt Disney Pictures,Walt Disney Feature Animation",6.7
8391,When Night Is Falling,Patricia Rozema,"Drama,Romance",Alliance Communications Corporation,5.9
629,The Usual Suspects,Bryan Singer,"Drama,Crime,Thriller","Blue Parrot Productions,Bad Hat Harry Productions",8.1
11448,Mighty Aphrodite,Woody Allen,"Comedy,Romance","Miramax Films,Magnolia Pictures",6.7
49133,Lamerica,Gianni Amelio,"Drama,Foreign",None,7.7
26441,The Big Green,Holly Goldberg Sloan,"Action,Adventure,Comedy,Family","Walt Disney Pictures,Caravan Pictures",5.2
97406,Georgia,Ulu Grosbard,Drama,"Miramax Films,CiBy 2000",6.1
9089,Home for the Holidays,Jodie Foster,"Comedy,Drama,Romance","Paramount Pictures,Egg Pictures,PolyGram Filmed Entertainment",6.3
11010,The Postman,Michael Radford,"Comedy,Drama,Romance",None,7.6
11359,The Indian in the Cupboard,Frank Oz,"Adventure,Family,Fantasy","Paramount Pictures,Columbia Pictures Corporation,The Kennedy/Marshall Company",5.9
17182,Eye for an Eye,John Schlesinger,"Drama,Thriller",Paramount Pictures,5.8
2054,Mr. Holland's Opus,Stephen Herek,"Music,Drama,Family","Hollywood Pictures,The Charlie Mopic Company,PolyGram Filmed Entertainment,Interscope Communications",6.9
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,Comedy,"Miramax Films,Island Pictures,Ivory Way Productions",6.2
9536,Bio-Dome,Jason Bloom,Comedy,"Metro-Goldwyn-Mayer (MGM),Motion Picture Corporation of America (MPCA),3 Arts Entertainment,Weasel Productions",4.4
40628,Two Bits,James Foley,"Drama,Family",Miramax Films,5.4
4482,French Twist,Josiane Balasko,"Comedy,Romance","Renn Productions,Les Films Flam,TF1 Films Production,Canal+",6.0
10634,Friday,F. Gary Gray,Comedy,New Line Cinema,7.0
755,From Dusk Till Dawn,Robert Rodriguez,"Horror,Action,Thriller,Crime","A Band Apart,Dimension Films,Los Hooligans Productions,Miramax",6.9
11859,Fair Game,Andrew Sipes,"Action,Thriller,Romance","Silver Pictures,Warner Bros.",4.1
28387,Kicking and Screaming,Noah Baumbach,"Comedy,Drama,Romance","Castleberg Productions,Sandollar Productions",7.0
20927,Bed of Roses,Michael Goldenberg,"Drama,Romance","New Line Cinema,Juno Pix",5.1
9102,Screamers,Christian Duguay,"Horror,Science Fiction","The Movie Network (TMN),Allegro Films,Fuji Eight Company Ltd.,Fries Film Group,Super Ecran,Triumph Films",6.1
27526,The Crossing Guard,Sean Penn,"Drama,Thriller",Miramax Films,6.1
9623,The Juror,Brian Gibson,"Drama,Thriller",Columbia Pictures Corporation,5.5
46785,The White Balloon,Jafar Panahi,"Family,Drama","I.R.I.B. Channel 2,Ferdos Films",7.5
400,Things to Do in Denver When You're Dead,Gary Fleder,"Drama,Crime",Miramax Films,6.7
880,Antonia's Line,Marleen Gorris,"Drama,Comedy","Bergen Film,Bard Entertainments,NPS Televisie",7.2
8447,Angels and Insects,Philip Haas,"Drama,Romance","Playhouse International Pictures,The Samuel Goldwyn Company",6.3
10534,White Squall,Ridley Scott,"Action,Drama","Hollywood Pictures,Largo Entertainment,Scott Free Productions",6.3
17414,Dunston Checks In,Ken Kwapis,"Adventure,Comedy,Family","Twentieth Century Fox Film Corporation,Joe Wizan/Todd Black",5.1
13997,Black Sheep,Penelope Spheeris,Comedy,Paramount Pictures,6.0
2086,Nick of Time,John Badham,"Crime,Drama,Thriller",Paramount Pictures,6.1
9095,Mary Reilly,Stephen Frears,"Drama,Horror,Thriller,Romance","TriStar Pictures,NFH Productions",5.7
12158,Vampire in Brooklyn,Wes Craven,"Comedy,Horror,Romance",Paramount Pictures,4.5
9283,Beautiful Girls,Ted Demme,"Comedy,Drama,Romance","Miramax Films,Woods Entertainment",6.6
9208,Broken Arrow,John Woo,"Action,Adventure,Drama,Thriller","Twentieth Century Fox Film Corporation,WCG Entertainment Productions,Mark Gordon Productions",5.7
406,La Haine,Mathieu Kassovitz,Drama,"Egg Pictures,PolyGram Filmed Entertainment,Canal+,Les Productions Lazennec,La Sept Cinéma,Kasso Inc. Productions,Studio Image,Cofinergie 6",7.9
45549,Shopping,Paul W.S. Anderson,"Action,Adventure,Drama,Science Fiction,Thriller",Channel Four Films,5.6
11062,City Hall,Harold Becker,"Drama,Thriller","Columbia Pictures,Castle Rock Entertainment",6.0
13685,Bottle Rocket,Wes Anderson,"Comedy,Crime,Drama","Gracie Films,Columbia Pictures Corporation",6.8
2045,Unforgettable,John Dahl,"Drama,Mystery,Science Fiction,Thriller","Metro-Goldwyn-Mayer (MGM),Dino De Laurentiis Company,Spelling Films",5.3
9614,Happy Gilmore,Dennis Dugan,Comedy,"Universal Pictures,Brillstein-Grey Entertainment,Robert Simonds Productions",6.5
688,The Bridges of Madison County,Clint Eastwood,"Drama,Romance","Amblin Entertainment,Malpaso Productions,Warner Bros.",7.3
10874,Muppet Treasure Island,Brian Henson,"Action,Comedy,Music,Family,Adventure","Walt Disney Pictures,Jim Henson Productions,Jim Henson Compan",6.5
197,Braveheart,Mel Gibson,"Action,Drama,History,War","Icon Entertainment International,The Ladd Company,B.H. Finance C.V.",7.7
103,Taxi Driver,Martin Scorsese,"Crime,Drama","Columbia Pictures Corporation,Italo/Judeo Productions,Bill/Phillips",8.1
33542,Rumble in the Bronx,Stanley Tong,"Crime,Action,Comedy,Thriller","New Line Cinema,Golden Harvest Company",6.5
43566,Before and After,Barbet Schroeder,"Drama,Thriller","Caravan Pictures,Hollywood Pictures",5.8
43612,Happiness Is in the Field,Étienne Chatiliez,Comedy,"France 2 Cinéma,France 3 Cinéma,StudioCanal,Les Productions du Champ Poirier,Téléma Productions",7.0
16934,The Young Poisoner's Handbook,Benjamin Ross,"Comedy,Crime,Drama",Bavaria Film and Television Fund,6.9
10324,If Lucy Fell,Eric Schaeffer,"Comedy,Romance","TriStar Pictures,Motion Picture Corporation of America (MPCA)",5.4
55731,Race the Sun,Charles T. Kanganis,"Action,Adventure,Comedy,Drama,Family",TriStar Pictures,5.2
11066,Boomerang,Reginald Hudlin,"Comedy,Romance",Paramount Pictures,5.4
11104,Chungking Express,Wong Kar-wai,"Drama,Comedy,Romance","Jet Tone Production,The Criterion Collection",7.9
37975,The Star Maker,Giuseppe Tornatore,"Drama,Romance",Cecchi Gori Group Tiger Cinematografica,6.8
2074,Flirting with Disaster,David O. Russell,"Comedy,Romance",Miramax Films,6.3
27793,The Neverending Story III: Escape from Fantasia,Peter MacDonald,Fantasy,"Studio Babelsberg,Dieter Geissler Filmproduktion,Cinevox Filmproduktion GmbH,Warner Bros.,Miramax",4.4
11863,Jade,William Friedkin,"Action,Thriller,Mystery,Romance",Paramount Pictures,5.1
9101,Down Periscope,David S. Ward,Comedy,Twentieth Century Fox Film Corporation,5.6
9302,Up Close & Personal,Jon Avnet,"Drama,Romance","Cinergi Pictures Entertainment,Touchstone Pictures",5.9
11000,The Birdcage,Mike Nichols,Comedy,United Artists,6.7
16388,The Brothers McMullen,Edward Burns,"Comedy,Drama,Romance",Fox Searchlight Pictures,6.3
9737,Bad Boys,Michael Bay,"Action,Comedy,Crime,Thriller","Columbia Pictures,Don Simpson/Jerry Bruckheimer Films",6.5
10474,The Basketball Diaries,Scott Kalvert,"Drama,Crime","New Line Cinema,Island Pictures",7.2
22279,An Awfully Big Adventure,Mike Newell,"Romance,Drama,Comedy","Fine Line Features,BBC,British Screen Productions,Portman Productions",6.0
30157,Amateur,Hal Hartley,"Crime,Comedy,Drama,Thriller","Channel Four Films,Zenith Entertainment,American Playhouse,Union Générale Cinématographique (UGC),La Sept Cinéma,True Fiction Pictures",6.5
568,Apollo 13,Ron Howard,Drama,"Imagine Entertainment,Universal Pictures",7.3
11780,Rob Roy,Michael Caton-Jones,Adventure,"United Artists,Talisman Productions",6.5
34996,The Addiction,Abel Ferrara,"Drama,Horror","October Films,Guild,Fastnet Films",6.4
414,Batman Forever,Joel Schumacher,"Action,Crime,Fantasy","Warner Bros.,Polygram Filmed Entertainment",5.2
649,Belle de Jour,Luis Buñuel,"Drama,Romance","Paris Films Productions,Five Films,Robert et Raymond Hakim",7.3
1873,Beyond Rangoon,John Boorman,"Drama,Thriller","Columbia Pictures,Castle Rock Entertainment",6.4
5894,Blue in the Face,"Paul Auster,Wayne Wang",Comedy,"Miramax Films,InterAL",6.8
1775,Canadian Bacon,Michael Moore,"Action,Comedy",PolyGram Filmed Entertainment,5.9
8839,Casper,Brad Silberling,"Fantasy,Comedy,Family","Universal Pictures,Amblin Entertainment,The Harvey Entertainment Company",6.0
20649,Clockers,Spike Lee,"Mystery,Crime,Drama","Universal Pictures,40 Acres & A Mule Filmworks",6.8
10329,Congo,Frank Marshall,"Action,Adventure,Drama,Mystery,Science Fiction,Thriller","Paramount Pictures,Kennedy/Marshall Compan",5.0
8963,Crimson Tide,Tony Scott,"Action,Thriller,Drama","Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films",7.0
26564,Crumb,Terry Zwigoff,Documentary,Superior Pictures,7.6
8068,Desperado,Robert Rodriguez,"Thriller,Action,Crime","Columbia Pictures,Los Hooligans Productions",6.8
8512,Devil in a Blue Dress,Carl Franklin,"Drama,Mystery,Thriller","TriStar Pictures,Mundy Lane Entertainment",6.3
1572,Die Hard: With a Vengeance,John McTiernan,"Action,Thriller","Twentieth Century Fox Film Corporation,Cinergi Pictures Entertainment",6.9
13552,The Doom Generation,Gregg Araki,"Action,Comedy,Crime,Drama","Why Not Productions,Desperate Pictures,Blurco,The Teen Angst Movie Company",5.6
6520,First Knight,Jerry Zucker,"Action,Adventure,Drama,Romance","Columbia Pictures Corporation,First Knight Productions",5.9
9073,Free Willy 2 - The Adventure Home,Dwight H. Little,Adventure,"Regency Enterprises,Alcor Films,Canal+,Donner/Shuler-Donner Productions,Warner Bros.",5.5
10428,Hackers,Iain Softley,"Action,Crime,Thriller,Drama","United Artists,Suftley",6.2
17447,Jeffrey,Christopher Ashley,"Comedy,Drama,Romance","The Booking Office,Workin' Man Films",6.5
9886,Johnny Mnemonic,Robert Longo,"Adventure,Action,Drama,Science Fiction,Thriller","TriStar Pictures,Alliance Communications Corporation",5.5
9482,Judge Dredd,Danny Cannon,Science Fiction,"Hollywood Pictures,Cinergi Pictures Entertainment",5.4
9344,Kids,Larry Clark,"Drama,Crime",Miramax Films,6.8
9071,Living in Oblivion,Tom DiCillo,"Drama,Comedy","JDI productions,Lemon Sky Productions",7.2
8973,Lord of Illusions,Clive Barker,"Mystery,Horror,Thriller","United Artists,Seraphim Films",5.9
47608,Mad Love,Antonia Bird,"Drama,Family,Romance",Touchstone Pictures,5.5
2293,Mallrats,Kevin Smith,"Romance,Comedy","Universal Pictures,Gramercy Pictures,Alphaville Films,View Askew Productions",6.8
9070,Mighty Morphin Power Rangers: The Movie,Bryan Spicer,"Action,Adventure,Science Fiction,Family,Fantasy","Twentieth Century Fox Film Corporation,Saban Entertainment,Toei Company",5.2
68274,Moonlight and Valentino,David Anspaugh,"Comedy,Drama,Romance","PolyGram Filmed Entertainment,Working Title Films",5.6
48787,Mute Witness,Anthony Waller,"Thriller,Foreign","Comet Film Produktion GmbH,Avrora Media,Cobblestone Pictures",6.4
34574,Nadja,Michael Almereyda,"Horror,Thriller",Kino Link Company,5.9
1642,The Net,Irwin Winkler,"Crime,Drama,Mystery,Thriller,Action",Columbia Pictures,5.6
11472,Nine Months,Chris Columbus,Comedy,"Twentieth Century Fox Film Corporation,1492 Pictures",5.5
36196,Party Girl,Daisy von Scherler Mayer,Comedy,Party Productions,5.8
11980,The Prophecy,Gregory Widen,"Fantasy,Horror,Thriller",Dimension Films,6.4
32646,Safe,Todd Haynes,Drama,"Killer Films,American Playhouse,Kardana Films,Chemical Films",7.2
10533,The Scarlet Letter,Roland Joffé,"Drama,History,Romance","Hollywood Pictures,Cinergi Pictures Entertainment",5.5
10802,Showgirls,Paul Verhoeven,Drama,"United Artists,Le Studio Canal+,Carolco Pictures",4.9
10149,Smoke,"Wayne Wang,Paul Auster","Comedy,Drama",Miramax Films,7.2
18402,Something to Talk About,Lasse Hallström,Comedy,"Spring Creek Productions,Warner Bros.,Hawn / Sylbert Movie Company",5.7
9348,Species,Roger Donaldson,"Science Fiction,Horror,Action",Metro-Goldwyn-Mayer (MGM),5.5
281,Strange Days,Kathryn Bigelow,"Crime,Drama,Science Fiction,Thriller",Lightstorm Entertainment,6.8
5967,The Umbrellas of Cherbourg,Jacques Demy,"Drama,Romance","Beta Film,Madeleine Films,Parc Film",7.6
47939,Three Wishes,Martha Coolidge,"Drama,Fantasy",Savoy Pictures,6.1
36834,Total Eclipse,Agnieszka Holland,"Drama,Romance","Société Française de Production (SFP),FIT Productions,Portman Productions",6.5
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,Comedy,"Universal Pictures,Amblin Entertainment",6.3
3512,Under Siege 2: Dark Territory,Geoff Murphy,"Action,Thriller","Regency Enterprises,Warner Bros.,Seagal/Nasso Productions,Victor Company of Japan (JVC),Cutting Edge Films",5.6
9560,A Walk in the Clouds,Alfonso Aráu,"Drama,Romance","Twentieth Century Fox Film Corporation,Zucker Brothers Productions",6.5
9804,Waterworld,Kevin Reynolds,"Adventure,Action","Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation",5.9
31611,White Man's Burden,Desmond Nakano,Drama,"HBO,A BandApart,Rysher Entertainment",5.1
65796,Wild Bill,Walter Hill,"Action,Western",United Artists,5.9
49805,The Browning Version,Mike Figgis,Drama,Paramount Pictures,6.0
50797,Burnt by the Sun,Nikita Mikhalkov,Drama,"Canal+,Studio Trite,Caméra One",6.7
19155,Before the Rain,Milčo Mančevski,"Drama,War","PolyGram Audiovisuel,British Screen Productions",7.7
76,Before Sunrise,Richard Linklater,"Drama,Romance","Detour Film Production,Warner Bros.",7.7
11017,Billy Madison,Tamra Davis,Comedy,Jack Giarraputo Productions,6.2
9382,Boys on the Side,Herbert Ross,"Comedy,Drama","Regency Enterprises,Alcor Films,Canal+,New Regency Pictures,Hera Productions",6.3
6715,The Cure,Peter Horton,"Drama,Family","Universal Pictures,Island World",7.2
18256,Castle Freak,Stuart Gordon,"Thriller,Drama,Horror,Mystery",Full Moon Entertainment,5.8
22625,Circle of Friends,Pat O'Connor,"Drama,Family,Romance","The Rank Organisation,Bórd Scannán na hÉireann,Lantana,Price Entertainment",6.5
2292,Clerks,Kevin Smith,Comedy,"Miramax Films,View Askew Productions",7.4
1909,Don Juan DeMarco,Jeremy Leven,"Romance,Drama,Comedy","New Line Cinema,American Zoetrope",6.3
8984,Disclosure,Barry Levinson,"Drama,Thriller,Crime,Mystery,Romance","Warner Bros.,Baltimore Pictures",5.9
4954,Drop Zone,John Badham,"Action,Adventure,Thriller",Paramount Pictures,5.1
10531,Death and the Maiden,Roman Polanski,"Drama,Thriller,Mystery","Fine Line Features,Channel Four Films,Capitol Films,TF1 Films Production,Canal+,Flach Film,Les Films de l'Astre",7.1
11929,Dolores Claiborne,Taylor Hackford,"Crime,Drama,Mystery","Castle Rock Entertainment,Columbia Pictures Corporation",7.1
8467,Dumb and Dumber,"Peter Farrelly,Bobby Farrelly",Comedy,"New Line Cinema,Motion Picture Corporation of America (MPCA)",6.5
10451,Eat Drink Man Woman,Ang Lee,"Comedy,Drama,Romance","Ang Lee Productions,Good Machine,Central Motion Pictures",7.5
20156,Exotica,Atom Egoyan,"Drama,Mystery","Miramax Films,Alliance Entertainment,Ego Film Arts",6.5
522,Ed Wood,Tim Burton,"Comedy,Drama,History",Touchstone Pictures,7.3
397,French Kiss,Lawrence Kasdan,"Comedy,Romance","Twentieth Century Fox Film Corporation,PolyGram Filmed Entertainment,Working Title Films,Prufrock Pictures",6.2
10525,Forget Paris,Billy Crystal,"Comedy,Drama,Romance","Columbia Pictures,Castle Rock Entertainment",6.1
27985,Far from Home: The Adventures of Yellow Dog,Phillip Borsos,"Action,Adventure,Drama,Family",Twentieth Century Fox Film Corporation,5.6
15789,A Goofy Movie,"Kevin Lima,Paul Brizzi","Romance,Animation,Family,Comedy,Adventure",Walt Disney Pictures,6.7
21183,Fluke,Carlo Carlei,"Drama,Family,Fantasy",Metro-Goldwyn-Mayer,6.6
10954,Farinelli,Gérard Corbiau,"History,Drama","Italian International Film,Stéphan Films,MG",5.9
14275,Hoop Dreams,Steve James,Documentary,"Fine Line Features,Kartemquin Films",7.7
1024,Heavenly Creatures,Peter Jackson,"Drama,Fantasy","WingNut Films,Miramax Films,New Zealand Film Commission,Fontana Productions",6.9
17207,Houseguest,Randall Miller,"Comedy,Family","Caravan Pictures,Hollywood Pictures",6.0
13701,Immortal Beloved,Bernard Rose,"Drama,Music,Romance","Columbia Pictures,Majestic Films International,Icon Entertainment International",6.9
14819,Heavyweights,Steven Brill,"Comedy,Family,Drama","Walt Disney Pictures,Caravan Pictures",6.0
32631,The Hunted,J. F. Lawton,"Action,Thriller","Universal Pictures,Bregman/Baer Productions",6.0
11777,I.Q.,Fred Schepisi,"Comedy,Drama,Romance",Paramount Pictures,5.9
628,Interview with the Vampire,Neil Jordan,"Horror,Romance",Geffen Pictures,7.2
87729,Jefferson in Paris,James Ivory,"Drama,Romance","Merchant Ivory Productions,Touchstone Pictures",5.2
6280,Junior,Ivan Reitman,"Comedy,Family,Romance","Universal Pictures,Northern Lights Entertainment",4.7
9061,Just Cause,Arne Glimcher,"Action,Drama,Mystery,Thriller","Fountainbridge Films,Warner Bros.,Lee Rich Productions",6.0
6071,Kiss of Death,Barbet Schroeder,"Action,Crime,Drama,Thriller",Twentieth Century Fox Film Corporation,5.7
11,Star Wars,George Lucas,"Adventure,Action,Science Fiction","Lucasfilm,Twentieth Century Fox Film Corporation",8.1
9587,Little Women,Gillian Armstrong,"Drama,Romance",Columbia Pictures,7.0
19101,A Little Princess,Alfonso Cuarón,"Drama,Family,Fantasy",Warner Bros.,7.4
49980,Ladybird Ladybird,Ken Loach,Drama,"Channel Four Films,Parallax Pictures",7.4
17961,L'Enfer,Claude Chabrol,"Crime,Drama",MK2 Productions,6.6
18183,Like Water for Chocolate,Alfonso Aráu,"Drama,Romance","Aviacsa,Cinevista",6.6
4476,Legends of the Fall,Edward Zwick,"Adventure,Drama,Romance,War","Bedford Falls Productions,TriStar Pictures,Pangaea",7.2
11008,Major Payne,Nick Castle,"Adventure,Comedy,Family",Universal Pictures,6.1
47504,Little Odessa,James Gray,"Action,Drama","Fine Line Features,New Line Cinema,Live Entertainment",6.4
28313,Losing Isaiah,Stephen Gyllenhaal,Drama,Paramount Pictures,6.4
11318,The Madness of King George,Nicholas Hytner,"Comedy,Drama,History","Channel Four Films,Samuel Goldwyn Company,Close Call Films",6.7
3036,Mary Shelley's Frankenstein,Kenneth Branagh,"Drama,Horror,Science Fiction,Romance","American Zoetrope,TriStar Pictures",6.1
40490,Man of the House,James Orr,"Action,Comedy,Family",Walt Disney Pictures,5.1
24070,Mixed Nuts,Nora Ephron,"Comedy,Drama,Romance",TriStar Pictures,5.2
8986,Milk Money,Richard Benjamin,"Comedy,Romance","Paramount Pictures,The Kennedy/Marshall Company",5.6
10510,Miracle on 34th Street,Les Mayfield,"Fantasy,Drama,Family",Twentieth Century Fox Film Corporation,6.4
38722,My Family,Gregory Nava,"Comedy,Drama","American Zoetrope,American Playhouse,Majestic Films International,Newcomb Productions",7.0
8438,Murder in the First,Marc Rocco,"Crime,Drama","Wolper Organization,Warner Bros.",6.9
11593,Nobody's Fool,Robert Benton,"Drama,Comedy","Paramount Pictures,Capella International,Cinehaus",7.0
1945,Nell,Michael Apted,"Drama,Thriller","Twentieth Century Fox Film Corporation,Egg Pictures,PolyGram Filmed Entertainment",6.1
241,Natural Born Killers,Oliver Stone,"Crime,Thriller,Drama","Regency Enterprises,Alcor Films,Ixtlan,Warner Bros.,New Regency Pictures,J D Productions",6.9
9058,Only You,Norman Jewison,"Comedy,Drama,Romance",TriStar Pictures,6.4
527,Once Were Warriors,Lee Tamahori,Drama,"Avalon Studios,New Zealand Film Commission,New Zealand On Air",7.6
6950,Outbreak,Wolfgang Petersen,"Action,Drama,Science Fiction,Thriller","Kopelson Entertainment,Punch Productions,Warner Bros.,Arnold Kopelson Productions",6.4
101,Leon: The Professional,Luc Besson,"Thriller,Crime,Drama","Columbia Pictures,Gaumont",8.2
680,Pulp Fiction,Quentin Tarantino,"Thriller,Crime","Miramax Films,A Band Apart,Jersey Films",8.3
40156,Priest,Antonia Bird,"Drama,Romance","BBC Films,PolyGram Filmed Entertainment,Miramax",6.4
11450,Quiz Show,Robert Redford,"History,Drama","Wildwood Enterprises,Hollywood Pictures,Baltimore Pictures",7.1
10452,Queen Margot,Patrice Chéreau,"Drama,History","Renn Productions,Eurimages,Canal+,ARD/Degeto Film GmbH,D.A. Films,France2 Cinéma,WMG Film,Centre National de la Cinématographie (CNC),N.E.F. Filmproduktion und Vertriebs GmbH,Miramax,RCS Films & TV",7.0
12106,The Quick and the Dead,Sam Raimi,"Action,Western",TriStar Pictures,6.2
3586,Prêt-à-Porter,Robert Altman,"Drama,Comedy",Miramax Films,5.3
110,Three Colors: Red,Krzysztof Kieślowski,"Drama,Mystery,Romance","Zespół Filmowy TOR,Le Studio Canal+,France 3 Cinéma,Télévision Suisse-Romande",7.8
108,Three Colors: Blue,Krzysztof Kieślowski,"Drama,Music,Mystery","France 3 Cinéma,CED Productions",7.7
109,Three Colors: White,Krzysztof Kieślowski,"Comedy,Drama,Mystery","Le Studio Canal+,France 3 Cinéma,Eurimages",7.3
36357,Rent-a-Kid,Fred Gerber,"Comedy,Family,TV Movie",None,5.1
22586,The Swan Princess,Richard Rich,Animation,Rich Animation Studios,6.5
14334,The Secret of Roan Inish,John Sayles,"Drama,Family,Fantasy","Jones Entertainment Group,Skerry Productions",6.1
